Time,SAP_FLUX,PDCSAP_FLUX
288.2236929552528,1032490.6,1040498.44
288.22437403173535,1032422.2,1040430.0
288.2250552082187,1032482.5,1040491.56
288.22573628470127,1032703.5,1040715.44
288.22641726119036,1032332.44,1040341.44
288.2270984376737,1032499.7,1040511.0
288.2277795141563,1032337.2,1040347.6
288.22846059063886,1032291.7,1040302.4
288.2291417671222,1032671.44,1040686.6
288.22982284361206,1032529.56,1040544.06
288.23050392009463,1032480.56,1040495.25
288.231185096578,1032266.9,1040280.2
288.2318660730598,1032273.56,1040287.75
288.23254714954237,1032540.9,1040558.3
288.233228326033,1032522.7,1040540.7
288.23390940251556,1032120.25,1040134.9
288.23459047899814,1032405.1,1040423.3
288.2352716554815,1032586.6,1040607.1
288.23595273196406,1032473.0,1040493.0
288.2366339084474,1032446.0,1040466.25
288.2373148850529,1032261.25,1040280.1
288.2379959615355,1032680.3,1040703.8
288.23867703801807,1032521.4,1040543.75
288.2393582145014,1032480.7,1040503.0
288.240039290984,1032298.8,1040319.7
288.2407204674746,1032456.6,1040479.4
288.2414015439572,1032548.8,1040572.7
288.24208262043976,1032493.6,1040517.2
288.2427635969216,1032226.9,1040248.0
288.2434447734049,1032454.75,1040478.3
288.2441258498948,1032670.94,1040696.75
288.24480692637735,1032429.8,1040453.3
288.2454881028607,1032420.06,1040443.5
288.24616917934327,1032548.7,1040573.44
288.24685025582585,1032777.7,1040804.75
288.2475314323092,1032708.75,1040735.1
288.2482124087983,1032361.1,1040384.06
288.24889348528086,1032472.94,1040496.9
288.2495746617642,1032733.7,1040760.2
288.2502557382468,1032432.6,1040456.06
288.25093681472936,1032337.9,1040360.3
288.2516178912192,1032682.0,1040707.7
288.25229906770255,1032739.3,1040765.44
288.25298014418513,1032237.0,1040258.0
288.25366112066695,1032428.8,1040451.56
288.2543422971503,1032308.4,1040329.8
288.25502337364014,1032586.6,1040610.7
288.2557044501227,1032684.4,1040709.3
288.25638562648965,1032239.6,1040260.0
288.2570667029722,1032496.2,1040518.9
288.2577477794548,1032663.6,1040687.9
288.25842895593814,1032287.56,1040307.94
288.259110032428,1032758.3,1040783.2
288.2597910089098,1032722.4,1040746.9
288.2604720853924,1032355.0,1040375.75
288.26115326187573,1032505.1,1040527.25
288.2618343383656,1032502.25,1040524.2
288.26251551484893,1032361.9,1040382.4
288.2631965913315,1032651.4,1040674.7
288.2638776678141,1032453.8,1040475.06
288.2645588442974,1032323.9,1040343.7
288.26523982077924,1032387.56,1040408.0
288.2659208972691,1032427.9,1040448.6
288.26660207375244,1032635.8,1040658.5
288.267283150235,1032387.2,1040407.44
288.2679642267176,1032653.0,1040675.8
288.26864540320094,1032576.0,1040597.94
288.2693264796908,1032618.9,1040641.25
288.27000755617337,1032463.1,1040483.8
288.27068863265595,1032633.1,1040655.5
288.2713697091385,1032556.3,1040577.8
288.2720507856211,1032560.06,1040581.56
288.27273196210444,1032626.8,1040648.94
288.2734130385943,1031729.75,1039742.9
288.2740941150769,1032606.1,1040627.94
